title,bite,label
Affordability Exemption,An exemption that’s needed when applying for Catastrophic coverage for people 30 years or older whose coverage is unaffordable. Affordability exemptions are ,0
Individual Coverage Health Reimbursement Arrangement,"A type of Health Reimbursement Arrangement that reimburses medical expenses, like monthly premiums, and requires eligible employees and dependents to have in...",1
Cafeteria Plan,A cafeteria plan is a separate written plan maintained by an employer for employees that meets the specific requirements and regulations of Section 125 of th...,0
Urban Indian programs,Health programs available to American Indians and Alaska Natives living in urban areas.Urban health programs serve:Members or descendants of federally r...,0
QSEHRA,Small employers who don't offer group health coverage to their employees can help employees pay for medical expenses through a Qualified Small Employer Healt...,0
Abortion services,"Federal law prohibits federal funds, including Marketplace premium tax credits, from being used for abortion services except in the limited cases of rape, in...",0
Small Business Health Options Program (SHOP),The Small Business Health Options Program (SHOP) helps small business owners provide medical and/or dental insurance to their employees. Some smaller employe...,0
Tax filing requirement (for dependents),"The minimum income requiring a dependent to file a federal tax return. 2021 filing requirements for dependents under 65: Earned income of at least $12,550, o...",0
Quality Ratings (or 'star' ratings),"Ratings of health plan quality used in the Health Insurance Marketplace®, shown as 1 to 5 stars on plan information pages.Each health plan has an “Overall”...",0
Grace Period,"A short period — usually 90 days — after your monthly health insurance payment is due. If you haven't made your payment, you may do so during the grace perio...",0
Adjusted Gross Income (AGI),"Your total (or “gross”) income for the tax year, minus certain adjustments you’re allowed to take. Adjustments include deductions for conventional IRA contri...",1
Tax filing requirement,The minimum amount (or threshold) of income requiring you to file a federal tax return. 2021 filing requirements for most taxpayers: Gross income of at least...,0
Qualifying Health Coverage,Any health insurance that meets the Affordable Care Act requirement for coverage. The fee for not having health insurance no longer applies. This means you n...,1
Inconsistency (Data Matching Issue),"A difference between some information you put on your Marketplace application and information we have from other trusted data sources.If this happens, the ...",0
Data Matching Issue (Inconsistency),A difference between some information you put on your Marketplace health insurance application and information we have from other trusted data sources.If t...,0
Same-Sex Marriage,Lawful marriage between spouses of the same sex. Same-sex marriage is legal and recognized in every U.S. state and the District of Columbia.As long as a sa...,0
Transgender People,"A transgender person’s assigned sex at birth doesn’t match their gender identity, expression, or behavior.Transgender people have important details to cons...",0
Exemption,"If you’re 30 and older and want Catastrophic coverage, you must qualify for a ""hardship"" or ""affordability"" exemption.For plan years 2018 and earlier, othe...",0
Stand-alone Dental Plan,A type of dental plan offered through the Marketplace that’s not included as part of a health plan. You may want this if the health coverage you choose doesn...,0
Spousal Abandonment,When an individual can’t locate their spouse after making a reasonable attempt to find them. Also known as desertion. If you’re a victim of spousal abandonme...,0
Exemption Certificate Number (ECN),"A number the Marketplace provides when you qualify for a health insurance exemption. When you fill out an exemption application, the Marketplace will review ...",0
Second lowest cost Silver plan (SLCSP),The second-lowest priced Marketplace health insurance plan in the Silver category that applies to you. It may not be the plan you enrolled in. You need to kn...,0
Plan ID,Each Marketplace health plan has a unique 14-character identifier that's a combination of numbers and/or letters.You can find a plan's ID below the plan na...,0
Application ID,"Each Marketplace application has a unique identification number, or Application ID. After you apply for Marketplace coverage, you’ll get a notice with your e...",0
Multi-State Plan,"A type of plan offered in the Health Insurance Marketplace®. Despite the name, “multi-state plans” don’t necessarily have network providers or cover services...",0
Modified Adjusted Gross Income (MAGI),The figure used to determine eligibility for premium tax credits and other savings for Marketplace health insurance plans and for Medicaid and the Children's...,1
Referral,"A written order from your primary care doctor for you to see a specialist or get certain medical services. In many Health Maintenance Organizations (HMOs), y...",0
Penalty,"A payment (""fee,"" ""fine,"" ""individual mandate"") you made when you filed taxes if you didn't have health insurance that counted as qualifying health coverage ...",1
Out-of-pocket maximum/limit,"The most you have to pay for covered services in a plan year. After you spend this amount on deductibles, copayments, and coinsurance for in-network care and...",1
Out-of-Pocket Estimate,An estimate of the amount that you may have to pay on your own for health care or prescription drug costs. The estimate is made before your health plan has p...,1
Out-of-Network Copayment,"A fixed amount (for example, $30) you pay for covered health care services from providers who don't contract with your health insurance or plan. Out-of-netwo...",1
Out-of-Network Coinsurance,"The percentage (for example, 40%) you pay of the allowed amount for covered health care services to providers who don't contract with your health insurance o...",1
Original Medicare,Original Medicare is a fee-for-service health plan that has two parts: Part A (Hospital Insurance) and Part B (Medical Insurance). After you pay a deductible...,1
Not Yet Accredited (Health Plan),"A plan that hasn't been given a ""seal of approval"" by an independent company to show it meets national quality standards for health plans. There are many rea...",0
Network Plan,"A health plan that contracts with doctors, hospitals, pharmacies, and other health care providers to provide members of the plan with services and supplies a...",0
Net Rental Income,"The amount someone pays you to use your property, after you subtract the expenses you have for the property. Royalty income includes any payments you get fro...",1
Worker's Compensation,An insurance plan that employers are required to have to cover employees who get sick or injured on the job.,1
Vision Coverage,"A health benefit that at least partially covers vision care, like eye exams and glasses. All plans in the Health Insurance Marketplace® include vision covera...",1
TTY,"A TTY (teletypewriter) is a communication device used by people who are deaf, hard-of-hearing, or have severe speech impairment. People who don't have a TTY ...",0
TRICARE,A health care program for active-duty and retired uniformed services members and their families.,0
Total Cost Estimate (for health coverage),"The total amount you may have to pay for health plan coverage, which is estimated before you actually have the coverage and have health expenses under the co...",1
Tax Household,The taxpayer(s) and any individuals who are claimed as dependents on one federal income tax return. A tax household may include a spouse and/or dependents....,0
Supplemental Security Income (SSI),"A monthly benefit paid by Social Security to people with limited income and resources who are disabled, blind, or 65 or older. SSI benefits aren't the same a...",1
Summary of Benefits and Coverage (SBC),"An easy-to-read summary that lets you make apples-to-apples comparisons of costs and coverage between health plans. You can compare options based on price, b...",0
Subsidized Coverage,Health coverage available at reduced or no cost for people with incomes below certain levels.Examples of subsidized coverage include Medicaid and the Child...,1
State Medical Assistance Office,A state agency in charge of the state's Medicaid program and can give information about programs in its state that help pay medical bills for people with lim...,0
State Insurance Department,A state agency that regulates insurance and can provide information about health coverage in its state.,0
State Health Insurance Assistance Program (SHIP),A state program that gets funding from the federal government to provide free local health coverage counseling to people with Medicare.,0
Social Security,"A system that distributes financial benefits to retired or disabled people, their spouses, and their dependent children based on their reported earnings. Whi...",0
Social Security Survivors Benefits,"Social Security benefits based on your record (if you should die) that are paid to your:Widow/widower age 60 or older, 50 or older if disabled, or any age...",0
Social Security Benefits,"The amount you get from Social Security Disability, Retirement (including Railroad retirement), or Survivor's Benefits each month.",1
Silver Health Plan,One of 4 categories of Health Insurance Marketplace® plans (sometimes called “metal levels”). Silver plans fall about in the middle: You pay moderate monthly...,0
Service Area,A geographic area where a health insurance plan accepts members if it limits membership based on where people live. For plans that limit which doctors and ho...,0
Self-Employment Income,"The net income you earn from your own trade or business. For example, any net income (profit) you earn from goods you sell or services you provide to others ...",0
Retirement Benefit (Pension),"A payment or series of payments made to you after you retire from work. Generally, the amount of your income from a pension or retirement account distributio...",1
Rental or Royalty Income,"The amount someone pays you to use your property, after you subtract the expenses you have for the property. Royalty income includes any payments you get fro...",1
Qualifying Life Event (QLE),"A change in your situation — like getting married, having a baby, or losing health coverage — that can make you eligible for a Special Enrollment Period, all...",0
Prior Authorization,Approval from a health plan that may be required before you get a service or fill a prescription in order for the service or prescription to be covered by yo...,1
Premium Tax Credit,A tax credit you can use to lower your monthly insurance payment (called your “premium”) when you enroll in a plan through the Health Insurance Marketplace®....,1
Platinum Health Plan,One of 4 categories (or “metal levels”) of Health Insurance Marketplace® plans. Platinum plans usually have the highest monthly premiums of any plan category...,0
Pension (Retirement Benefit),"A payment or series of payments made to you after you retire from work. Generally, the amount of your income from a pension or retirement account distributio...",1
